هناك ، أمام بيانات السائح تماما .	MSA	LINEEND
لم اسمع بهذا العنوان من قبل بالقرب من هنا .	MSA	LINEEND
استمر في السير في هذا الطريق حتى تجد صيدلية .	MSA	LINEEND
كم تكلفة الإفطار ؟	MSA	LINEEND
كيف أستطيع مساعدتك ؟	MSA	LINEEND
اتجه يسارا عند الناصية الثالثة .	MSA	LINEEND
هل تحب أن تضع قشدة وسكر في قهوتك ؟	MSA	LINEEND
هل يمكنكم صرف الشيك ذو المائتي دولار الخاص بي ؟	MSA	LINEEND
إذا حدث ذلك ، من فضلك أتصل بي .	MSA	LINEEND
أين المقهى ؟	MSA	LINEEND
أريد جاكيت للأطفال .	MSA	LINEEND
حسنا . إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص .	MSA	LINEEND
هل لديك أحذية حريمي عند أصابع القدم ؟	MSA	LINEEND
هل ستواجهني أية صعوبات في الجمارك ؟	MSA	LINEEND
لا ، هل لي أن أقترح أخذ غرفة ذات سريرين للاستخدام الفردي ؟ فنحن لدينا واحدة .	MSA	LINEEND
أريد تمويج متقارب لشعري ، من فضلك .	MSA	LINEEND
هي تريد بيرة .	MSA	LINEEND
صباح الخير . كيف حالك .	MSA	LINEEND
أسف أنني بحاجة إلى أن أطلع على أي مستند لتحديد الهوية .	MSA	LINEEND
أي نوع من الملابس ؟	MSA	LINEEND
هذا بارد إلى حد ما . هل يمكن أن تقوم بتسخينه ؟	MSA	LINEEND
أنا بحالة جدية ، لكن هل تمانع في الاتصال بصديق ؟	MSA	LINEEND
من هو أفضل صديق لك ؟	MSA	LINEEND
يوم الصحة الرياضية هو يوم العاشر من أكتوبر وهو إجازة قومية الغرض منها تحسين صحة المواطنين .	MSA	LINEEND
هل تريد أن افحص موتور السيارة ؟	MSA	LINEEND
هل لك أن تساعدني في الوصول إلى حقيبتي ؟	MSA	LINEEND
هل ستقوم بعمل الترتيبات مقدماً ؟	MSA	LINEEND
تقدم إلىّ المساعدة ، شكراً لك .	MSA	LINEEND
عندما تصل هناك أسأل شخص آخر ، من فضلك .	MSA	LINEEND
أريد الامتداد أربع وعشرون ، من فضلك .	MSA	LINEEND
تفضل هذان دولاران . احتفظ بالباقي .	MSA	LINEEND
واحد هامبرجر وواحد شيز برجر ، من فضلك .	MSA	LINEEND
كم تتقاضى لتطبيع صور الفيلم ؟	MSA	LINEEND
كلا منا يريد أن يحاسب على وجبته .	MSA	LINEEND
المكان كان على كرسي في البهو .	MSA	LINEEND
أريد قاموس جيب ، من فضلك .	MSA	LINEEND
لشخصين عند الساعة السابعة , الاسم وتاناب .	MSA	LINEEND
ساعتي . كانت ساعة سيكو رقمية .	MSA	LINEEND
يسعدنا أن نقدم لك الشراب الذي تريده متبوعاً بالغداء . دليل كامل بالمشروبات التي نقدمها على رحلتنا موجودة في دليل المعلومات الخاص بمجلتنا .	MSA	LINEEND
أين محل الهدايا ؟	MSA	LINEEND
أريد منبه ، من فضلك .	MSA	LINEEND
معظم اليابانيين يأكلون الأخطبوط والحبار .	MSA	LINEEND
هل يمكنني الحصول على تذكرتين درجة ثانية لشيكاغوا , من فضلك ؟	MSA	LINEEND
لقد ذهبت إلى نيويورك .	MSA	LINEEND
ما هو رقم الرحلة الجوية ؟	MSA	LINEEND
لعدة أيام قليلة .	MSA	LINEEND
الثاني من على اليسار .	MSA	LINEEND
هل هذا مكتب الاستقبال ؟ هل يوجد عيادة قريبة ؟	MSA	LINEEND
هل عشرة دولارات ستكون كافية للذهب بالتاكسي ؟	MSA	LINEEND
أنه ذو مذاق غريب .	MSA	LINEEND
نعم . انتظر , سوف احضر لك واحدة .	MSA	LINEEND
نصف زجاجة , من فضلك .	MSA	LINEEND
ليس تماماً . فقط شيء ما غير غالي الثمن .	MSA	LINEEND
هل تبحث عن شيء ما ؟	MSA	LINEEND
أربع ليالي .	MSA	LINEEND
أريد بعض الجوارب الرجالي .	MSA	LINEEND
هل تستطيع أن تخفض سعرها لوجود بعض البقع بها ؟	MSA	LINEEND
ارتطم بي شخص وبعد ذلك اكتشفت أن محفظتي قد سرقت .	MSA	LINEEND
أنا غير متأكد إذا كنت قد حزمت ملابس كافية لرحلة مدتها ثلاثة أيام .	MSA	LINEEND
حسناً ، أود أن أجرب النبيذ الأبيض .	MSA	LINEEND
إذا سأل أحد عني فأخبره بأني سوف أكون بالمقهى .	MSA	LINEEND
أنا متأكد أني وضعتها بالجيب الداخلي للمعطف .	MSA	LINEEND
هل ستدفع لي شركة الطيران لشراء بعض الاحتياجات الشخصية الأساسية ؟	MSA	LINEEND
أرغب في غرفة بحمام .	MSA	LINEEND
شخص ما فتح الطرد الخاص بي .	MSA	LINEEND
شركة الخطوط الجوية اليابانية ، طائرة رقم واحد اثنان ثلاثة .	MSA	LINEEND
أرغب في شراء شامبو .	MSA	LINEEND
هل بإمكانك أن تخبرين متى نصل إلى مجمع الخدمات العامة .	MSA	LINEEND
ـ أين أقرب محل جزارة ؟	MSA	LINEEND
نرغب في أن نقيم أربع ليالي بدءاً من أول أغسطس .	MSA	LINEEND
ما اسم هذه الوردة ؟	MSA	LINEEND
الخامس عشر من سبتمبر يوم احترام المسنين .	MSA	LINEEND
ليس هناك صابون في حجرتي .	MSA	LINEEND
هل يمكنك أن تغير الصياغة طبقاً لما قلته للتو ؟	MSA	LINEEND
لا أستطيع أن أفعل ذلك , لكني سوف أضعها في الحقيبة لك .	MSA	LINEEND
كم تستغرق حتى تصبح متاحة .	MSA	LINEEND
أين الاستعلامات الرياضية ؟	MSA	LINEEND
هذا المقاس ، الذي تسميه المقاس العادي ، سوف تجده هنا .	MSA	LINEEND
من أي مكان يمكنني أن أغير القطار الذي يوصلني إلى إدنبره ؟	MSA	LINEEND
أود أن أضع ذلك في صندوق ودائع آمن .	MSA	LINEEND
أين يمكنني تغير نقودي ؟	MSA	LINEEND
هل يمكننا ترك أشياءنا ما عدا الأشياء القيمة في الحافلة ؟	MSA	LINEEND
أتساءل عن هذه الرسوم الزائدة على فاتورتي .	MSA	LINEEND
أنا سوف أدفع خمسون دولاراً .	MSA	LINEEND
الآن أعرف . ماذا كان الخطأ . ؟	MSA	LINEEND
كم أوقية من العطر أستطيع الحصول عليه من غير رسوم ؟	MSA	LINEEND
فقط سياحة .	MSA	LINEEND
هذا جيد , من فضلك وقع عليهم . كيف تريدها ؟	MSA	LINEEND
أود الحصول على واحدة كبيرة .	MSA	LINEEND
أنا مصور حر .	MSA	LINEEND
يستطيع الصرافون أن يغيروا دولاراتك من أجل بقشيش الكازينو . هل نذهب ؟	MSA	LINEEND
سوف أحضر لك العرض الأسبوع القادم .	MSA	LINEEND
شكراُ لك . كم تكلفة هذا القفاز ؟	MSA	LINEEND
علىّ أن أذهب ، سأتصل بك لاحقاً .	MSA	LINEEND
أريد بعض الحفاضات التى يمكن التخلص منها بعد الاستعمال .	MSA	LINEEND
أين نشأت سمكات الفراش هذه ؟	MSA	LINEEND
هل لك أن تغيرهم إلى دولارات من فضلك ؟	MSA	LINEEND
نحن محظوظون جداً . لديهم واحدة مقاس أربعة فى متجر ألامونا .	MSA	LINEEND
هل هناك سيارة ليموزين ؟	MSA	LINEEND
أُفضلُ حجرة هادئة .	MSA	LINEEND
أريد مزيلا لطلاء الأظافر .	MSA	LINEEND
أريد بطارية .	MSA	LINEEND
هل أستطيع تأجير أداة للتنفس أثناء السباحة ؟	MSA	LINEEND
هل هذه الحقيبة مناسبة لكل حالات الطقس ؟	MSA	LINEEND
أريد كعكة محلاة من فضلك .	MSA	LINEEND
أريد تأجير سلاح آلى لمدة يومين .	MSA	LINEEND
لم أدرك الرحلة رقم عشرون المتجهة إلى سان فرانسيسكو .	MSA	LINEEND
كم سأدفع للوصول إلى المطار ؟	MSA	LINEEND
هذا جيد . متى هو ؟	MSA	LINEEND
كم عمر ابنتك ؟	MSA	LINEEND
هل يمكن أن تدلني على بعض الفنادق الرخيصة والنظيفة ؟	MSA	LINEEND
يمكننا ان نحجز لك غرفة مريحة في قلعة قديمة بالقرب من نادي جولف شهير .	MSA	LINEEND
ارشح ذلك لأنه مائة في المائة مصنوع من مكونات طبيعية .	MSA	LINEEND
هل من الممكن أن تخبرني أين أستطيع أن أحصل على تاكسي ؟	MSA	LINEEND
تذكرتين درجة ثانية من فضلك .	MSA	LINEEND
أود أن أرسل فاكس .	MSA	LINEEND
أريد مكواة سفر .	MSA	LINEEND
أيمكنني أن أقدم لك أي شيء ؟	MSA	LINEEND
أخشى أن أسأل ، لكن ماذا تعني ؟	MSA	LINEEND
أريد الشخص الذي يعد وثائق عادية في حجم ورقة الخطاب بدون الحاجة إلى طيهم .	MSA	LINEEND
أنا شديد الحساسية للقطط .	MSA	LINEEND
نعم , لا بد أن يكون عندك رخصة قيادة ، ولا بد أن تحصل على رخصة من لجنة التاكسي والليموزين .	MSA	LINEEND
استمر يا سيدي .	MSA	LINEEND
أود أن أحجز غرفة لهذه الليلة .	MSA	LINEEND
لا ، إنها لا تشمل الضريبة ومصاريف الخدمة .	MSA	LINEEND
هل تريد أن تذهب للتسوق معي بعد الظهر ؟	MSA	LINEEND
الآن ، مكالمتك ردت . تفضل من فضلك .	MSA	LINEEND
ما رقم البوابة ؟	MSA	LINEEND
ما التذكار الخاص بهاواي ؟	MSA	LINEEND
أيمكنني أن أذهب هناك بمترو الأنفاق ؟	MSA	LINEEND
أريد مجفف .	MSA	LINEEND
هل نذهب إلى أي مكان متحدثين مثل ذلك ؟	MSA	LINEEND
أنا من النرويج .	MSA	LINEEND
بالتأكيد . دعني أراها . أظن أن المرجان جرحك .	MSA	LINEEND
لقط للتأكيد ، إعطني رقم المسئول .	MSA	LINEEND
هل هناك طريق حر ؟	MSA	LINEEND
لماذا لم يأت إلى الحفلة أمس ؟	MSA	LINEEND
لقد كان هناك حادث مرور .	MSA	LINEEND
آسف , لقد اتصلت بالرقم الخطأ .	MSA	LINEEND
واحد هامبورجر بالجبن و عصير برتقال , من فضلك .	MSA	LINEEND
هل أستطيع أن الحصول علي تذكرتان للمسرحية الغنائية الجمعة القادمة .	MSA	LINEEND
راكب آخر هناك قال انهم يستطيعون أن يبدلوا مقاعدهم معك .	MSA	LINEEND
هل أستطيع تمديد إقامتي ؟	MSA	LINEEND
يا صاح , أتعرف أي مكان يستحق الرؤية قريبا من هنا ؟	MSA	LINEEND
هل من الممكن أن تخبرني عندما تعقروا علي الحقيبة الضائعة ؟	MSA	LINEEND
ما اسم هذه المحمية ؟	MSA	LINEEND
أصبت بسحجة .	MSA	LINEEND
هل من الممكن أن احصل علي بعض الفاكهة ؟	MSA	LINEEND
هل أستطيع تناول غذائي الآن ؟	MSA	LINEEND
أريد أن أستبدل تلك الدولارات .	MSA	LINEEND
أحتاج إلى تاكسي . أنا في ساوث ماين ، وليبرتي .	MSA	LINEEND
هذه ليست تفاحة ولكنها خوخة .	MSA	LINEEND
سوف أعطيك روشتة . خذها إلى الصيدلية .	MSA	LINEEND
نسافر جواً ثلاث مرات في الأسبوع ، أيام الثلاثاء والجمعة والسبت .	MSA	LINEEND
نعم لدينا هذا ، سوف نجهزها لك .	MSA	LINEEND
ل , ا أريد فقط الزيارة بدون ميعاد .	MSA	LINEEND
هل أنت أمريكي ؟	MSA	LINEEND
لقد تعطلت سيارتي .	MSA	LINEEND
أين مظلل العيون ؟	MSA	LINEEND
نريد ركناً هادئاً ، إن أمكن .	MSA	LINEEND
هل هذه السيارة الأجرة متاحة ؟	MSA	LINEEND
هل هذه محطة قطار سريع ؟	MSA	LINEEND
متى ينبغي أن آتي ؟	MSA	LINEEND
أريد دورقاً صغيراً من الخمر الأبيض .	MSA	LINEEND
آه . هل يمكنني الحصول على وجبتي فيما بعد ؟ أنا أشعر أنني لست على ما يرام الآن .	MSA	LINEEND
بالفعل لدي أخبار . أنا سأتزوج .	MSA	LINEEND
بنطلون أخر ؟	MSA	LINEEND
هل يمكنني الحصول على برنامج ؟	MSA	LINEEND
اقتحمت غرفتي الليلة الماضية .	MSA	LINEEND
أرني السمكة التي رأيتها اليوم في كتاب الصور ، من فضلك .	MSA	LINEEND
انظر التعليمات على علبة الطعام الفارغة .	MSA	LINEEND
أريد نقوداً ورقية .	MSA	LINEEND
أليس لديك دروس تجريبية ؟	MSA	LINEEND
أين يمكنني أن أشتري طوابع بريد ؟	MSA	LINEEND
أنا من بريطانيا العظمى .	MSA	LINEEND
علي أن أفحص ذلك مع زوجتي .	MSA	LINEEND
أريد أن أحصل على تعويض لذلك .	MSA	LINEEND
يوجد صندوق للهاتف أمام هذا المصرف .	MSA	LINEEND
سأصل في التاسع من مارس وأغادر في الرابع عشر .	MSA	LINEEND
هذا غال قليلاً ، ألا تعتقد ؟	MSA	LINEEND
هل لديك كعب ؟	MSA	LINEEND
أين المحطة النهائية للحافلة ؟	MSA	LINEEND
هل تريد بالحلويات ؟	MSA	LINEEND
هل تتحدث ؟	MSA	LINEEND
الشيء نفسه لي ، من فضلك .	MSA	LINEEND
طلبي لم يأت .	MSA	LINEEND
هناك الكثير من الينابيع الحارة .	MSA	LINEEND
من فضلك غير خمسين آلاف ين إلى دولارات أمريكية .	MSA	LINEEND
هذا حسن بالنسبة لي . في الواقع أحب أن أدخن .	MSA	LINEEND
أريد كوباً من الخمر الأحمر .	MSA	LINEEND
فقط إذا كانت ملكك ، سيدي . هاها ، مزحة صغيرة .	MSA	LINEEND
بالتأكيد . كيف يمكننا خدمتك ؟	MSA	LINEEND
تحقيق شخصية . آه ، هل جواز السفر ينفع ؟	MSA	LINEEND
رقم غرفتي هو ثلاثة ستة وعشرين . هل يمكن أن تأخذ الغسيل ؟	MSA	LINEEND
سأرى ما إذا كان أي منها يناسبني .	MSA	LINEEND
أريد غلاية .	MSA	LINEEND
أحضر لي بعض من الجبن المبشور .	MSA	LINEEND
هل يمكن أن أحصل على قمصاني نظيفة غداً صباحاً ؟	MSA	LINEEND
هل لك أن تطلب منه أن يعاود الاتصال بي ؟	MSA	LINEEND
لماذا إذاً ؟	MSA	LINEEND
عذراً . هل يوجد محل كتب قريب من هنا ؟	MSA	LINEEND
الحافلة هناك .	MSA	LINEEND
أريد لفتان من ISO مائة ، فيلم ملون ، ستة وثلاثين لقطة ، من فضلك .	MSA	LINEEND
أود أن أصرف هذا الشيك بسبعين دولاراً .	MSA	LINEEND
أود أن أشتري طوابع لعشرة بطاقات بريدية إلى اليابان ، من فضلك .	MSA	LINEEND
هل توجد مصارف بالقرب من المحطة ؟	MSA	LINEEND
أخشى أن يكون هناك خطأ في الفاتورة .	MSA	LINEEND
واحد شيزبرجر لكي أذهب ، من فضلك .	MSA	LINEEND
أجري .	MSA	LINEEND
هناك قطع في بلوزتي . أتساءل هل يمكنك أن تخيطيه لي ، من فضلك ؟	MSA	LINEEND
هل يمكن أن تقرضني سلك إمداد ؟	MSA	LINEEND
أين يمكنني أن أشتري حصيرة للشاطئ ؟	MSA	LINEEND
أعطني قطعة لحم الخنزير هذه ، ولكن ليس بسمك تلك .	MSA	LINEEND
سنأتي في السابعة .	MSA	LINEEND
عندما أرى الأسعار بهذا الرخص ، يبدو الأمر سخيفاً أن أشتري أي شيء في اليابان .	MSA	LINEEND
سرقت سجلاتي ، أيضاً .	MSA	LINEEND
مخروط من الأيس كريم الفانيليا ، من فضلك .	MSA	LINEEND
أوافق . يجب أن تصبح طبيعية جداً .	MSA	LINEEND
لاحظ الفجوة ، لاحظ الفجوة ، ثم قرب الأبواب ، من فضلك .	MSA	LINEEND
سأحتاج إلى بطاقة ائتمان .	MSA	LINEEND
من فضلك أعطني تقريراً عن الحادث .	MSA	LINEEND
لا ، أشكرك حالياً .	MSA	LINEEND
حسنا ، ابق على الخط . سيد/ ناكاجيما ، الآنسة/ سايتو يبدو أنها لا ترد على المكالمة . هل تريدني أن أتصل عليها فترة أطول ؟	MSA	LINEEND
يبدو أنها نادرة جداً .	MSA	LINEEND
أين بيان أمتعة الرحلة سبعة صفر ثلاثة ؟	MSA	LINEEND
شيء خطأ مع حقيبتك .	MSA	LINEEND
هل هذا سيفسد ؟	MSA	LINEEND
لا ، شكراً . من الأفضل أن لا أشرب المزيد .	MSA	LINEEND
من فضلك أخبرني عن بعض الشوارع المناسبة للتسوق .	MSA	LINEEND
الآن ، هذه اللوحة خاصة جداً . رسمها تسوروتارو كاتاأوكا . إنه معروف بأنه فنان عالمي .	MSA	LINEEND
لدي تقدير كبير للموسيقى الكلاسيكية .	MSA	LINEEND
حسنا . ما هو اسم شريكك ورقمه ، من فضلك .	MSA	LINEEND
عذراً . دعني أخرج ، من فضلك .	MSA	LINEEND
هل يمكنك أن تستدعي موظفاً يتحدث اليابانية ؟	MSA	LINEEND
