هناك ، أمام بيان+ات ال+سائح تماما .	MSA
لم اسمع ب+هذا ال+عنوان من قبل ب+ال+قرب من هنا .	MSA
استمر في ال+سير في هذا ال+طريق حتى تجد صيدلي+ة .	MSA
كم تكلف+ة ال+إفطار ؟	MSA
كيف أستطيع مساعد+ت+ك ؟	MSA
اتج+ه يسارا عند ال+ناصي+ة ال+ثالث+ة .	MSA
هل تحب أن تضع قشد+ة و+سكر في قهو+ت+ك ؟	MSA
هل يمكن+كم صرف ال+شيك ذو ال+مائتي دولار ال+خاص بي ؟	MSA
إذا حدث ذل+ك ، من فضل+ك أتصل بي .	MSA
أين ال+مقهى ؟	MSA
أريد جاكي+ت ل+ل+أطفال .	MSA
حس+نا . إن+ها تتكلف خمس+ة و+ثمانون دولارا في ال+بريد ال+عادي و+ثلاث+ة دولار+ات في ال+توصيل ال+خاص .	MSA
هل لدي+ك أحذي+ة حريم+ي عند أصابع ال+قدم ؟	MSA
هل ستواجه+ني أي+ة صعوب+ات في ال+جمارك ؟	MSA
لا ، هل لي أن أقترح أخذ غرف+ة ذات سرير+ين ل+ل+استخدام ال+فردي ؟ ف+نحن لد+ي+نا واحد+ة .	MSA
أريد تمويج م+تقارب ل+شعر+ي ، من فضل+ك .	MSA
هي تريد بير+ة .	MSA
صباح ال+خير . كيف حال+ك .	MSA
أسف أنني ب+حاج+ة إلى أن أطلع على أي مستند ل+تحديد ال+هوي+ة .	MSA
أي نوع من ال+ملابس ؟	MSA
هذا بارد إلى حد ما . هل يمكن أن تقوم ب+تسخين+ه ؟	MSA
أنا ب+حال+ة جدي+ة ، لكن هل تمانع في ال+اتصال ب+صديق ؟	MSA
من هو أفضل صديق ل+ك ؟	MSA
يوم ال+صح+ة ال+رياضي+ة هو يوم ال+عاشر من أكتوبر و+هو إجاز+ة قومي+ة ال+غرض من+ها تحسين صح+ة ال+مواطن+ين .	MSA
هل تريد أن افحص موتور ال+سيار+ة ؟	MSA
هل ل+ك أن تساعد+ني في ال+وصول إلى حقيب+ت+ي ؟	MSA
هل ستقوم ب+عمل ال+ترتيب+ات مقدما+ً ؟	MSA
تقدم إلىّ ال+مساعد+ة ، شكراً ل+ك .	MSA
عندما تصل هناك أسأل شخص آخر ، من فضل+ك .	MSA
أريد ال+امتداد أربع و+عشرون ، من فضل+ك .	MSA
تفضل هذان دولاران . احتفظ ب+ال+باقي .	MSA
واحد هامبرجر و+واحد شيز ب+رجر ، من فضل+ك .	MSA
كم تتقاضى ل+تطبيع صور ال+فيلم ؟	MSA
كل+ا منا يريد أن يحاسب على وجب+ت+ه .	MSA
ال+مكان كان على كرسي في ال+بهو .	MSA
أريد قاموس جيب ، من فضل+ك .	MSA
ل+شخص+ين عند ال+ساع+ة ال+سابع+ة , ال+اسم و+تاناب .	MSA
ساع+ت+ي . كان+ت ساع+ة سيكو رقمي+ة .	MSA
يسعد+نا أن نقدم ل+ك ال+شراب ال+ذي تريد+ه م+تبوعاً ب+ال+غداء . دليل كامل ب+ال+مشروب+ات ال+تي نقدم+ها على رحل+ت+نا موجود+ة في دليل ال+معلوم+ات ال+خاص ب+مجل+ت+نا .	MSA
أين محل ال+هدايا ؟	MSA
أريد منب+ه ، من فضل+ك .	MSA
معظم ال+ياباني+ين يأكل+ون ال+أخطبوط و+ال+حبار .	MSA
هل يمكن+ني ال+حصول على تذكر+ت+ين درج+ة ثاني+ة ل+شيكاغ+وا , من فضل+ك ؟	MSA
لقد ذهب+ت إلى نيويور+ك .	MSA
ما هو رقم ال+رحل+ة ال+جوي+ة ؟	MSA
لعد+ة أيام قليل+ة .	MSA
ال+ثاني من على ال+يسار .	MSA
هل هذا مكتب ال+استقبال ؟ هل يوجد عياد+ة قريب+ة ؟	MSA
هل عشر+ة دولار+ات ستكون كافي+ة ل+ل+ذهب ب+ال+تاكسي ؟	MSA
أن+ه ذو مذاق غريب .	MSA
نعم . انتظر , سوف احضر ل+ك واحد+ة .	MSA
نصف زجاج+ة , من فضل+ك .	MSA
ليس تماماً . فقط شيء ما غير غالي ال+ثمن .	MSA
هل تبحث عن شيء ما ؟	MSA
أربع ليالي .	MSA
أريد بعض ال+جوارب ال+رجال+ي .	MSA
هل تستطيع أن تخفض سعر+ها ل+وجود بعض ال+بقع ب+ها ؟	MSA
ارتطم بي شخص و+بعد ذل+ك اكتشف+ت أن محفظ+ت+ي قد سرق+ت .	MSA
أنا غير متأكد إذا كن+ت قد حزم+ت ملابس كافي+ة ل+رحل+ة مد+ت+ها ثلاث+ة أيام .	MSA
حسناً ، أود أن أجرب ال+نبيذ ال+أبيض .	MSA
إذا سأل أحد عن+ي ف+أخبر+ه ب+أن+ي سوف أكون ب+ال+مقهى .	MSA
أنا متأكد أن+ي وضع+ت+ها ب+ال+جيب ال+داخل+ي ل+ل+معطف .	MSA
هل ستدفع لي شرك+ة ال+طيران ل+شراء بعض ال+احتياج+ات ال+شخصي+ة ال+أساسي+ة ؟	MSA
أرغب في غرف+ة ب+حمام .	MSA
شخص ما فتح ال+طرد ال+خاص بي .	MSA
شرك+ة ال+خطوط ال+جوي+ة ال+ياباني+ة ، طائر+ة رقم واحد اثنان ثلاث+ة .	MSA
أرغب في شراء شامب+و .	MSA
هل ب+إمكان+ك أن تخبر+ين متى نصل إلى مجمع ال+خدم+ات ال+عام+ة .	MSA
ـ أين أقرب محل جزار+ة ؟	MSA
نرغب في أن نقيم أربع ليالي ب+دءاً من أول أغسطس .	MSA
ما اسم هذه ال+ورد+ة ؟	MSA
ال+خامس عشر من سبتمبر يوم احترام ال+مسنين .	MSA
ليس هناك صابون في حجر+ت+ي .	MSA
هل يمكن+ك أن تغير ال+صياغ+ة طبقاً لما قل+ت+ه ل+لتو ؟	MSA
لا أستطيع أن أفعل ذل+ك , ل+كن+ي سوف أضع+ها في ال+حقيب+ة ل+ك .	MSA
كم تستغرق حتى تصبح متاح+ة .	MSA
أين ال+استعلام+ات ال+رياضي+ة ؟	MSA
هذا ال+مقاس ، ال+ذي تسمي+ه ال+مقاس ال+عادي ، سوف تجد+ه هنا .	MSA
من أي مكان يمكن+ني أن أغير ال+قطار ال+ذي يوصل+ني إلى إدنبر+ه ؟	MSA
أود أن أضع ذل+ك في صندوق و+دائع آمن .	MSA
أين يمكن+ني تغير نقود+ي ؟	MSA
هل يمكن+نا ترك أشياء+نا ما عدا ال+أشياء ال+قيم+ة في ال+حافل+ة ؟	MSA
أتساءل عن هذه ال+رسوم ال+زائد+ة على فاتور+ت+ي .	MSA
أنا سوف أدفع خمس+ون دولاراً .	MSA
ال+آن أعرف . ماذا كان ال+خطأ . ؟	MSA
كم أوقي+ة من ال+عطر أستطيع ال+حصول علي+ه من غير رسوم ؟	MSA
فقط سياح+ة .	MSA
هذا جيد , من فضل+ك وقع علي+هم . كيف تريد+ها ؟	MSA
أود ال+حصول على واحد+ة كبير+ة .	MSA
أنا مصور حر .	MSA
يستطيع ال+صرافون أن يغير+وا دولار+ات+ك من أجل ب+قشيش ال+كازين+و . هل نذهب ؟	MSA
سوف أحضر ل+ك ال+عرض ال+أسبوع ال+قادم .	MSA
شكراُ ل+ك . كم تكلف+ة هذا ال+قفاز ؟	MSA
على+ّ أن أذهب ، سأتصل ب+ك لا+حقا+ً .	MSA
أريد بعض ال+حفاض+ات ال+تى يمكن ال+تخلص من+ها بعد ال+استعمال .	MSA
أين نشأ+ت سمك+ات ال+فراش هذه ؟	MSA
هل ل+ك أن تغير+هم إلى دولار+ات من فضل+ك ؟	MSA
نحن محظوظ+ون جداً . لد+ي+هم واحد+ة مقاس أربع+ة فى متجر ألام+و+نا .	MSA
هل هناك سيار+ة ل+يموز+ين ؟	MSA
أُفضل+ُ حجر+ة هادئ+ة .	MSA
أريد مزيل+ا ل+طلاء ال+أظافر .	MSA
أريد ب+طاري+ة .	MSA
هل أستطيع تأجير أدا+ة ل+ل+تنفس أثناء ال+سباح+ة ؟	MSA
هل هذه ال+حقيب+ة مناسب+ة ل+كل حال+ات ال+طقس ؟	MSA
أريد كعك+ة محلا+ة من فضل+ك .	MSA
أريد تأجير سلاح آلى لمد+ة يوم+ين .	MSA
لم أدرك ال+رحل+ة رقم عشرون ال+متجه+ة إلى سان فرانسيسكو .	MSA
كم سأدفع ل+ل+وصول إلى ال+مطار ؟	MSA
هذا جيد . متى هو ؟	MSA
كم عمر ابن+ت+ك ؟	MSA
هل يمكن أن تدل+ني على بعض ال+فنادق ال+رخيص+ة و+ال+نظيف+ة ؟	MSA
يمكن+نا ان نحجز ل+ك غرف+ة مريح+ة في قلع+ة قديم+ة ب+ال+قرب من نادي جولف شهير .	MSA
ارشح ذل+ك ل+أن+ه مائ+ة في ال+مائ+ة مصنوع من مكون+ات طبيعي+ة .	MSA
هل من ال+ممكن أن تخبر+ني أين أستطيع أن أحصل على تاكسي ؟	MSA
تذكر+ت+ين درج+ة ثاني+ة من فضل+ك .	MSA
أود أن أرسل فاكس .	MSA
أريد مكوا+ة سفر .	MSA
أيمكن+ني أن أقدم ل+ك أي شيء ؟	MSA
أخشى أن أسأل ، لكن ماذا تعني ؟	MSA
أريد ال+شخص ال+ذي يعد و+ثائق عادي+ة في حجم ورق+ة ال+خطاب بدون ال+حاج+ة إلى طي+هم .	MSA
أنا شديد ال+حساسي+ة ل+ل+قطط .	MSA
نعم , لا بد أن يكون عند+ك رخص+ة قياد+ة ، و+لا بد أن تحصل على رخص+ة من لجن+ة ال+تاكسي و+ال+ليموزين .	MSA
استمر يا سيدي .	MSA
أود أن أحجز غرف+ة ل+هذه ال+ليل+ة .	MSA
لا ، إن+ها لا تشمل ال+ضريب+ة و+مصاريف ال+خدم+ة .	MSA
هل تريد أن تذهب ل+ل+تسوق مع+ي بعد ال+ظهر ؟	MSA
ال+آن ، مكال+مت+ك رد+ت . تفضل من فضل+ك .	MSA
ما رقم ال+بواب+ة ؟	MSA
ما ال+تذكار ال+خاص ب+هاوا+ي ؟	MSA
أيمكن+ني أن أذهب هناك ب+مترو ال+أنفاق ؟	MSA
أريد م+جفف .	MSA
هل نذهب إلى أي مكان متحدث+ين مثل ذل+ك ؟	MSA
أنا من ال+نرويج .	MSA
ب+ال+تأكيد . دعني أراها . أظن أن ال+مرجان جرح+ك .	MSA
لقط ل+ل+تأكيد ، إعطني رقم ال+مسئول .	MSA
هل هناك طريق حر ؟	MSA
لماذا لم يأت إلى ال+حفل+ة أمس ؟	MSA
لقد كان هناك حادث مرور .	MSA
آسف , لقد اتصل+ت ب+ال+رقم ال+خطأ .	MSA
واحد هامبورجر ب+ال+جبن و عصير برتقال , من فضل+ك .	MSA
هل أستطيع أن ال+حصول علي تذكر+ت+ان ل+ل+مسرحي+ة ال+غنائي+ة ال+جمع+ة ال+قادم+ة .	MSA
راكب آخر هناك قال ان+هم يستطيع+ون أن يبدل+وا مقاعد+هم مع+ك .	MSA
